name,times
com.mozillaonline.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,1
com.facebook.permission.prod.SYSTEM_COMMUNICATION,1
com.tencent.msf.permission.ACCOUNT_NOTICE,1
htc.socialmanager.permission.READ_SOCIAL_DATABASE,1
com.sina.weibo.permission.WEIBO_SDK_PERMISSION,1
com.gau.go.launcherex.permission.READ_SETTINGS,1
com.mx.launcher.permission.READ_SETTINGS,1
com.amazon.device.messaging.permission.RECEIVE,1
com.nokia.pushnotifications.permission.RECEIVE,1
com.sonyericsson.homescreen.permission.WRITE_SETTINGS,1
vn.apk.store.gakoi.permission.C2D_MESSAGE,1
com.skype.rover.permission.C2D_MESSAGE,1
com.kakao.talk.permission.C2D_MESSAGE,1
com.sina.weibo.permission.NOUSER_BROADCAST,1
android.permission.USE_FINGERPRINT,1
com.linecorp.linemusic.android.permission.PLAYBACK,1
com.laiwang.android..permission.EXTERNAL_USE,1
com.tencent.msg.permission.pushnotify,1
com.android.launcher.permission.CALL_PHONE,1
com.kddi.market.permission.USE_ALML,1
android.app.action.BIND_DEVICE_ADMIN,1
com.ty.launcher.permission.WRITE_SETTINGS,1
com.apusapps.launcher.permission.READ_SETTINGS,1
com.Android.Afaria.permission.AFARIA_API,1
